Road_Name,Road_Type,Segment_Index,Start_Lat,Start_Lon,End_Lat,End_Lon,Length_Meters,Dist_to_Intersection_m,No_of_Lanes,Speed_Limit_kmh,Road_Surface
Airport Road,trunk,6,8.302589,80.424959,8.300967,80.424157,200.0,905.92,2,50,asphalt
Airport Road,trunk,7,8.300967,80.424157,8.299559,80.423018,200.0,1060.52,2,50,asphalt
Airport Road,trunk,8,8.299559,80.423018,8.298026,80.422105,200.0,1218.38,2,50,asphalt
Airport Road,trunk,9,8.298026,80.422105,8.29623,80.422208,200.0,1409.46,2,50,asphalt
Airport Road,trunk,10,8.29623,80.422208,8.295102,80.423476,200.0,1582.35,2,50,asphalt
Airport Road,trunk,11,8.295102,80.423476,8.295757,80.425139,200.0,1607.14,2,50,asphalt
Airport Road,trunk,12,8.295757,80.425139,8.296535,80.426773,200.0,1541.95,2,50,asphalt
Airport Road,trunk,13,8.296535,80.426773,8.296905,80.42855,200.0,1533.7,2,50,asphalt
Airport Road,trunk,14,8.296905,80.42855,8.297094,80.430345,200.0,1577.83,2,50,asphalt
Airport Road,trunk,15,8.297094,80.430345,8.296469,80.432046,200.0,1694.92,2,50,asphalt
Airport Road,trunk,16,8.296469,80.432046,8.29582,80.433741,200.0,1859.55,2,50,asphalt
Airport Road,trunk,17,8.29582,80.433741,8.29524,80.43546,200.0,1911.68,2,50,asphalt
Airport Road,trunk,18,8.29524,80.43546,8.294828,80.437228,200.0,1791.97,2,50,asphalt
Airport Road,trunk,19,8.294828,80.437228,8.294416,80.438996,200.0,1677.57,2,50,asphalt
Airport Road,trunk,20,8.294416,80.438996,8.295373,80.44018,200.0,1550.55,2,50,asphalt
Airport Road,trunk,21,8.295373,80.44018,8.297179,80.440211,200.0,1388.86,2,50,asphalt
Airport Road,trunk,22,8.297179,80.440211,8.298719,80.441124,200.0,1223.2,2,50,asphalt
Airport Road,trunk,23,8.298719,80.441124,8.300189,80.442181,200.0,1029.23,2,50,asphalt
Airport Road,trunk,24,8.300189,80.442181,8.30167,80.443224,200.0,837.67,2,50,asphalt
Airport Road,trunk,25,8.30167,80.443224,8.302848,80.444573,200.0,647.5,2,50,asphalt
Airport Road,trunk,26,8.302848,80.444573,8.303799,80.446119,200.0,448.53,2,50,asphalt
Airport Road,trunk,27,8.303799,80.446119,8.304744,80.447667,200.0,248.59,2,50,asphalt
Airport Road,trunk,28,8.304744,80.447667,8.305399,80.448846,148.68,74.31,2,50,asphalt
Sri Maha Bodhi Mawatha,primary,1,8.344309,80.399903,8.344466,80.398938,107.67,53.79,2,50,asphalt
Godage Mawatha,tertiary,1,8.322129,80.407007,8.323588,80.408081,200.0,495.15,2,50,asphalt
Godage Mawatha,tertiary,2,8.323588,80.408081,8.325047,80.409154,200.0,295.15,2,50,asphalt
Godage Mawatha,tertiary,3,8.325047,80.409154,8.326472,80.410201,195.16,97.57,2,50,asphalt
Buddhagaya Mawatha,secondary,1,8.322901,80.416076,8.321148,80.416065,200.0,757.49,2,50,asphalt
Buddhagaya Mawatha,secondary,2,8.321148,80.416065,8.319364,80.416295,200.0,914.96,2,50,asphalt
Buddhagaya Mawatha,secondary,3,8.319364,80.416295,8.317808,80.415442,200.0,1046.74,2,50,asphalt
Buddhagaya Mawatha,secondary,4,8.317808,80.415442,8.316359,80.414355,200.0,1133.96,2,50,asphalt
Buddhagaya Mawatha,secondary,5,8.316359,80.414355,8.314929,80.413242,200.0,1094.2,2,50,asphalt
Buddhagaya Mawatha,secondary,6,8.314929,80.413242,8.313491,80.41214,200.0,894.54,2,50,asphalt
Buddhagaya Mawatha,secondary,7,8.313491,80.41214,8.31206,80.41103,200.0,695.1,2,50,asphalt
Buddhagaya Mawatha,secondary,8,8.31206,80.41103,8.31064,80.409904,200.0,495.95,2,50,asphalt
Buddhagaya Mawatha,secondary,9,8.31064,80.409904,8.309303,80.408688,200.0,297.34,2,50,asphalt
Buddhagaya Mawatha,secondary,10,8.309303,80.408688,8.308129,80.407333,199.4,98.25,2,50,asphalt
Kandy Road,trunk,1,8.307717,80.47305,8.306339,80.474226,200.0,100.06,2,50,asphalt
Kandy Road,trunk,2,8.306339,80.474226,8.304926,80.47536,200.0,300.01,2,50,asphalt
Kandy Road,trunk,3,8.304926,80.47536,8.303524,80.476508,200.0,499.99,2,50,asphalt
Kandy Road,trunk,4,8.303524,80.476508,8.302127,80.477663,200.0,699.99,2,50,asphalt
Kandy Road,trunk,5,8.302127,80.477663,8.300726,80.478811,200.0,899.99,2,50,asphalt
Kandy Road,trunk,6,8.300726,80.478811,8.299137,80.479675,200.0,1098.42,2,50,asphalt
Kandy Road,trunk,7,8.299137,80.479675,8.297671,80.480735,200.0,1296.47,2,50,asphalt
Kandy Road,trunk,8,8.297671,80.480735,8.296407,80.482027,200.0,1495.71,2,50,asphalt
Kandy Road,trunk,9,8.296407,80.482027,8.295177,80.483341,200.0,1691.6,2,50,asphalt
Kandy Road,trunk,10,8.295177,80.483341,8.293783,80.484499,200.0,1890.73,2,50,asphalt
Kandy Road,trunk,11,8.293783,80.484499,8.292386,80.485653,200.0,2090.72,2,50,asphalt
Kandy Road,trunk,12,8.292386,80.485653,8.290983,80.486799,200.0,2290.72,2,50,asphalt
Kandy Road,trunk,13,8.290983,80.486799,8.289575,80.487939,200.0,2241.98,2,50,asphalt
Kandy Road,trunk,14,8.289575,80.487939,8.288167,80.48908,200.0,2042.01,2,50,asphalt
Kandy Road,trunk,15,8.288167,80.48908,8.286754,80.490214,200.0,1842.04,2,50,asphalt
Kandy Road,trunk,16,8.286754,80.490214,8.285356,80.491366,200.0,1642.1,2,50,asphalt
Kandy Road,trunk,17,8.285356,80.491366,8.283954,80.492514,200.0,1442.2,2,50,asphalt
Kandy Road,trunk,18,8.283954,80.492514,8.282532,80.493637,200.0,1242.27,2,50,asphalt
Kandy Road,trunk,19,8.282532,80.493637,8.281108,80.494757,200.0,1042.3,2,50,asphalt
Kandy Road,trunk,20,8.281108,80.494757,8.279673,80.495862,200.0,842.34,2,50,asphalt
Kandy Road,trunk,21,8.279673,80.495862,8.27822,80.496944,200.0,642.35,2,50,asphalt
Kandy Road,trunk,22,8.27822,80.496944,8.276769,80.498029,200.0,442.35,2,50,asphalt
Kandy Road,trunk,23,8.276769,80.498029,8.275326,80.499125,200.0,242.36,2,50,asphalt
Kandy Road,trunk,24,8.275326,80.499125,8.274289,80.499891,142.37,71.18,2,50,asphalt
Abhayawewa Road,secondary,1,8.351394,80.398169,8.351384,80.396383,200.0,98.19,2,50,asphalt
Abhayawewa Road,secondary,2,8.351384,80.396383,8.351811,80.394654,200.0,295.26,2,50,asphalt
Abhayawewa Road,secondary,3,8.351811,80.394654,8.351852,80.394574,9.9,394.48,2,50,asphalt
Sri Rewatha Mawatha,secondary,1,8.342517,80.396582,8.342752,80.397994,160.92,120.41,2,50,asphalt
Freeman Mawatha,tertiary,1,8.324267,80.404017,8.323224,80.405501,200.0,581.19,2,50,asphalt
Freeman Mawatha,tertiary,2,8.323224,80.405501,8.322157,80.406968,200.0,604.56,2,50,asphalt
Freeman Mawatha,tertiary,3,8.322157,80.406968,8.321068,80.408418,200.0,603.96,2,50,asphalt
Freeman Mawatha,tertiary,4,8.321068,80.408418,8.319978,80.409868,200.0,667.93,2,50,asphalt
Freeman Mawatha,tertiary,5,8.319978,80.409868,8.319485,80.410523,90.49,745.03,2,50,asphalt
swarnamali road,tertiary,1,8.355514,80.398963,8.353744,80.398591,200.0,237.81,2,50,asphalt
swarnamali road,tertiary,2,8.353744,80.398591,8.351966,80.39826,200.0,163.97,2,50,asphalt
swarnamali road,tertiary,3,8.351966,80.39826,8.351394,80.398169,64.13,32.01,2,50,asphalt
